year,month,boardings,alightings,passengers,total_riders,period,season,monthly_avg_temp,monthly_avg_max_temp,monthly_avg_min_temp,monthly_precipitation,monthly_avg_humidity,monthly_avg_wind_speed,monthly_sunshine_hours,monthly_snowfall,source_file
2020.0,1.0,15160458,5312316,5312316,20472774,2020-01,겨울,3.8,8.4,0.1,70.4,61.0,2.1,151.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,2.0,11125403,3861503,3861503,14986906,2020-02,겨울,4.9,10.4,0.2,40.2,59.0,2.4,205.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,3.0,6725681,2341692,2341692,9067373,2020-03,봄,9.5,15.8,3.6,24.5,61.0,2.5,246.1,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,4.0,8986825,3152134,3152134,12138959,2020-04,봄,12.6,19.0,6.5,32.4,53.0,2.9,273.7,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,5.0,11544135,4039597,4039597,15583732,2020-05,봄,19.4,25.7,14.0,38.1,64.0,2.5,241.7,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,6.0,13001039,4447604,4447604,17448643,2020-06,여름,24.5,30.5,19.3,185.3,63.0,2.2,226.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,7.0,14026903,4702161,4702161,18729064,2020-07,여름,23.2,26.8,20.2,330.5,79.0,2.2,96.7,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,8.0,12958475,4436097,4436097,17394572,2020-08,여름,28.6,33.3,24.8,322.7,71.0,1.9,193.5,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,9.0,12939025,4446178,4446178,17385203,2020-09,가을,21.2,26.0,17.1,161.0,73.0,2.0,150.1,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,10.0,13927542,4816438,4816438,18743980,2020-10,가을,15.4,21.3,10.1,13.1,64.0,2.0,223.0,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,11.0,14114152,4871240,4871240,18985392,2020-11,가을,9.7,15.3,4.5,23.9,59.0,2.2,198.5,0.0,OBS_ASOS_MNH_20260615164729.csv
2020.0,12.0,12472337,4359132,4359132,16831469,2020-12,겨울,1.6,7.2,-3.1,2.8,54.0,2.5,214.3,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,1.0,11330127,4005377,4005377,15335504,2021-01,겨울,0.5,5.9,-4.3,11.9,58.0,2.5,203.1,0.7,OBS_ASOS_MNH_20260615164729.csv
2021.0,2.0,11110257,3958969,3958969,15069226,2021-02,겨울,4.8,11.1,-0.6,19.2,59.0,2.7,207.8,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,3.0,14743231,5112969,5112969,19856200,2021-03,봄,10.2,16.1,4.7,95.2,69.0,2.4,204.0,1.7,OBS_ASOS_MNH_20260615164729.csv
2021.0,4.0,14558972,5065891,5065891,19624863,2021-04,봄,14.5,20.6,8.8,43.0,61.0,2.9,247.0,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,5.0,14387803,5018254,5018254,19406057,2021-05,봄,18.3,24.3,12.8,90.9,62.0,2.5,209.9,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,6.0,14439870,5012481,5012481,19452351,2021-06,여름,23.2,28.5,18.9,55.1,64.0,2.3,185.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,7.0,14125754,4964536,4964536,19090290,2021-07,여름,26.9,32.1,22.9,153.3,69.0,2.1,216.1,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,8.0,13118382,4631134,4631134,17749516,2021-08,여름,25.7,30.5,22.4,256.3,74.0,1.6,130.7,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,9.0,13776647,4842266,4842266,18618913,2021-09,가을,22.1,26.4,18.7,84.1,76.0,2.0,128.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,10.0,14785802,5242503,5242503,20028305,2021-10,가을,16.5,22.7,11.5,57.8,72.0,1.5,217.6,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,11.0,15001982,5773398,5773398,20775380,2021-11,가을,9.5,15.7,4.4,43.1,64.0,2.0,208.6,0.0,OBS_ASOS_MNH_20260615164729.csv
2021.0,12.0,14680386,5732483,5732483,20412869,2021-12,겨울,3.1,8.9,-2.1,0.1,57.0,2.5,222.1,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,1.0,12828128,5056403,5056403,17884531,2022-01,겨울,0.9,6.8,-4.1,0.0,47.0,2.3,231.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,2.0,10977961,4290191,4290191,15268152,2022-02,겨울,1.6,7.4,-3.4,0.1,44.0,3.1,240.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,3.0,14026961,5300035,5300035,19326996,2022-03,봄,9.7,15.9,3.8,34.3,58.0,2.4,206.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,4.0,14792612,5560119,5560119,20352731,2022-04,봄,15.9,22.7,9.4,38.5,55.0,2.2,253.3,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,5.0,15998924,5978284,5978284,21977208,2022-05,봄,20.7,27.4,14.1,4.2,50.0,2.5,313.3,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,6.0,15135305,5620685,5620685,20755990,2022-06,여름,24.3,29.7,19.8,81.8,71.0,2.4,205.9,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,7.0,15181843,5682690,5682690,20864533,2022-07,여름,27.5,32.4,23.7,88.8,77.0,2.3,180.5,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,8.0,14478481,5426580,5426580,19905061,2022-08,여름,26.9,31.4,23.4,143.3,81.0,1.7,139.1,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,9.0,14512767,5409075,5409075,19921842,2022-09,가을,21.9,26.8,17.7,114.2,80.0,2.3,168.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,10.0,15718415,5854188,5854188,21572603,2022-10,가을,15.5,21.6,10.1,25.6,72.0,2.1,233.8,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,11.0,15580542,5804268,5804268,21384810,2022-11,가을,11.0,17.7,5.2,46.6,65.0,1.7,209.3,0.0,OBS_ASOS_MNH_20260615164729.csv
2022.0,12.0,15279889,5694245,5694245,20974134,2022-12,겨울,0.4,5.4,-4.0,3.6,63.0,2.4,209.5,0.8,OBS_ASOS_MNH_20260615164729.csv
2023.0,1.0,13188967,5069443,5069443,18258410,2023-01,겨울,0.9,6.7,-4.3,11.5,61.0,2.4,218.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,2.0,13413788,5178688,5178688,18592476,2023-02,겨울,4.4,10.4,-0.7,11.2,51.0,2.2,183.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,3.0,16493427,6254380,6254380,22747807,2023-03,봄,11.8,18.8,5.4,27.3,46.0,2.1,241.1,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,4.0,15608876,6649431,6649431,22258307,2023-04,봄,14.8,20.9,8.8,30.8,55.0,2.6,224.8,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,5.0,16269475,6598368,6598368,22867843,2023-05,봄,19.3,25.1,13.8,200.0,63.0,2.1,217.2,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,6.0,15701818,6131707,6131707,21833525,2023-06,여름,24.0,29.6,19.3,178.7,66.0,2.2,219.6,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,7.0,15886342,6093354,6093354,21979696,2023-07,여름,26.7,31.1,23.1,298.7,78.0,1.6,138.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,8.0,15806013,6057109,6057109,21863122,2023-08,여름,27.5,31.9,24.0,312.8,76.0,2.1,189.4,0.0,OBS_ASOS_MNH_20260615164729.csv
2023.0,9.0,16450594,6235008,6235008,22685602,2023-09,가을,23.5,27.9,20.0,123.6,77.0,1.9,155.1,0.0,OBS_ASOS_MNH_20260615164729.csv
