file_name,standard_column,actual_column,roles
OBS_ASOS_MNH_20260615164729.csv,stop_id,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,stop_name,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,district,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,boardings,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,alightings,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,passengers,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,lat,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,lon,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,route_count,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,route_id,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,date,최저해면기압 나타난날(yyyymmdd),"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,year,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,month,,"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,hour,합계 일조시간(hr),"ridership, time_series"
OBS_ASOS_MNH_20260615164729.csv,metric_type,,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,stop_id,,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,stop_name,정류소명,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,district,,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,boardings,승차,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,alightings,하차,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,passengers,하차,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,lat,,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,lon,,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,route_count,,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,route_id,,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,date,년월,"ridership, time_series"
시내버스 정류소별 월별 이용자수(2020년).csv,year,,"ridership, time_series"
