_merge_key,stop_name,boardings,alightings,passengers,route_count,lat,lon,district,total_riders,boardings_per_route,hourly_pattern_boardings,morning_boardings,evening_boardings,peak_hour,peak_hour_label,morning_concentration,evening_concentration,boarding_alighting_diff,boarding_alighting_imbalance,stop_type
name:옥포LH천년나무3단지앞|,옥포LH천년나무3단지앞,268547,7897,7897,1.0,35.7791724,128.4383512,달성군,276444,268547.0,8891.0,3086.0,1146.0,7.0,7시,34.709256551569,12.889438758294904,260650,0.9428672714907902,출근형
name:대덕맨션앞|,대덕맨션앞,231121,16795,16795,1.0,35.83402167,128.59655,남구,247916,231121.0,7663.0,1623.0,997.0,16.0,16시,21.179694636565312,13.010570272739136,214326,0.8645105600283968,생활형
name:영대병원역|,영대병원역,611104,76457,76457,3.0,35.84425167,128.5883767,남구,687561,203701.33333333334,20673.0,3311.0,6207.0,18.0,18시,16.016059594640353,30.024669859236685,534647,0.7775993693650455,퇴근형
name:진아리채앞|,진아리채앞,388546,5179,5179,2.0,35.69483462,128.4639796,달성군,393725,194273.0,13042.0,3934.0,2039.0,7.0,7시,30.16408526299647,15.634105198589173,383367,0.9736922979236777,출근형
name:불로우방아파트앞|,불로우방아파트앞,386544,119603,119603,2.0,35.90070378,128.6305545,동구,506147,193272.0,16021.0,3054.0,3343.0,9.0,9시,19.062480494351163,20.866362898695463,266941,0.5273981669356926,생활형
name:메트로팔레스2|,메트로팔레스2,528444,55016,55016,3.0,35.86941667,128.6372683,수성구,583460,176148.0,18026.0,3910.0,4600.0,7.0,7시,21.690890935315654,25.518695218018415,473428,0.8114146642443355,퇴근형
name:대구과학기술고등학교앞|,대구과학기술고등학교앞,524325,35988,35988,3.0,35.85578237,128.5477465,서구,560313,174775.0,18416.0,2269.0,5837.0,18.0,18시,12.320807993049522,31.695264986967853,488337,0.8715432267322014,퇴근형
name:기업은행대곡지점앞|,기업은행대곡지점앞,505213,16494,16494,3.0,35.80840833,128.5359983,달서구,521707,168404.33333333334,16936.0,4369.0,3077.0,8.0,8시,25.797118564005668,18.16839867737364,488719,0.9367691060307797,출근형
name:수목원제일풍경채앞|,수목원제일풍경채앞,318147,3752,3752,2.0,35.79869097,128.5301834,달서구,321899,159073.5,10539.0,3071.0,1915.0,7.0,7시,29.139387038618462,18.170604421671886,314395,0.9766883401315319,출근형
name:대동시장2|,대동시장2,312280,20551,20551,2.0,35.81136,128.537725,달서구,332831,156140.0,10538.0,3230.0,1613.0,8.0,8시,30.650977415069274,15.306509774150692,291729,0.8765078974013839,출근형
