_merge_key,stop_name,boardings,alightings,passengers,route_count,lat,lon,district,total_riders,boardings_per_route,hourly_pattern_boardings,morning_boardings,evening_boardings,peak_hour,peak_hour_label,morning_concentration,evening_concentration,boarding_alighting_diff,boarding_alighting_imbalance,stop_type
name:(구)현풍시외버스터미널|,(구)현풍시외버스터미널,2990,862,862,5.0,35.69911162,128.441172,달성군,3852,598.0,77.0,48.0,3.0,7.0,7시,62.33766233766234,3.896103896103896,2128,0.5524402907580478,출근형
name:(주)성안건너|,(주)성안건너,744,5316,5316,6.0,35.91493667,128.6244917,북구,6060,124.0,9.0,5.0,3.0,8.0,8시,55.55555555555556,33.33333333333333,-4572,0.7544554455445545,저이용형
name:(주)영화건너|,(주)영화건너,44,2368,2368,1.0,35.63367167,128.4233033,달성군,2412,44.0,0.0,0.0,0.0,5.0,5시,,,-2324,0.9635157545605307,저이용형
name:(주)영화앞|,(주)영화앞,7995,24,24,1.0,35.633795,128.4231833,달성군,8019,7995.0,250.0,24.0,120.0,17.0,17시,9.6,48.0,7971,0.9940142162364385,퇴근형
name:1차서한화성타운건너|,1차서한화성타운건너,5562,3718,3718,2.0,35.85394833,128.529435,달서구,9280,2781.0,134.0,36.0,20.0,7.0,7시,26.865671641791046,14.925373134328357,1844,0.19870689655172413,출근형
name:1차서한화성타운앞|,1차서한화성타운앞,16175,2790,2790,2.0,35.854125,128.528915,달서구,18965,8087.5,531.0,149.0,82.0,7.0,7시,28.06026365348399,15.44256120527307,13385,0.7057737938307408,출근형
name:2.28기념중앙공원건너1|,2.28기념중앙공원건너1,849818,307435,307435,7.0,35.8705917,128.5980172,중구,1157253,121402.57142857143,30232.0,1619.0,11284.0,22.0,22시,5.355252712357767,37.32468907118285,542383,0.4686814378532611,퇴근형
name:2.28기념중앙공원건너2|,2.28기념중앙공원건너2,108752,75361,75361,1.0,35.87035722,128.5990478,중구,184113,108752.0,3793.0,318.0,1346.0,18.0,18시,8.383865014500396,35.48642235697337,33391,0.18136144650296285,퇴근형
name:2.28기념중앙공원앞|,2.28기념중앙공원앞,1763732,373071,373071,12.0,35.87030917,128.5983161,중구,2136803,146977.66666666666,62662.0,4163.0,23359.0,18.0,18시,6.643579841051992,37.277776004596085,1390661,0.6508138560269712,퇴근형
name:2차대자연맨션건너|,2차대자연맨션건너,32826,26265,26265,6.0,35.81108667,128.6183133,수성구,59091,5471.0,1130.0,354.0,195.0,9.0,9시,31.327433628318584,17.25663716814159,6561,0.11103213687363558,출근형
name:2차대자연맨션앞|,2차대자연맨션앞,223280,25351,25351,6.0,35.81124667,128.6182133,수성구,248631,37213.333333333336,7545.0,2255.0,1216.0,8.0,8시,29.887342611000662,16.11663353214049,197929,0.7960753083887367,출근형
name:2차서한화성타운건너|,2차서한화성타운건너,728234,69861,69861,8.0,35.85864168,128.5277578,달서구,798095,91029.25,24898.0,7930.0,4136.0,8.0,8시,31.84994778697084,16.611776046268776,658373,0.8249306160294201,출근형
name:2차서한화성타운앞|,2차서한화성타운앞,320514,109479,109479,8.0,35.85891325,128.5287276,달서구,429993,40064.25,11663.0,3048.0,2726.0,8.0,8시,26.133927805881846,23.373060104604303,211035,0.49078705932422156,출근형
name:2호선반월당역1|,2호선반월당역1,413738,118944,118944,4.0,35.86525717,128.5956177,중구,532682,103434.5,14109.0,446.0,6052.0,18.0,18시,3.161102842157488,42.894606279679635,294794,0.5534146075895187,퇴근형
name:2호선반월당역2|,2호선반월당역2,246650,111819,111819,5.0,35.86491107,128.5956279,중구,358469,49330.0,8679.0,565.0,3106.0,18.0,18시,6.5099665860122125,35.787533125936164,134831,0.37613015351397194,퇴근형
name:808종점|,808종점,11,3,3,,,,,14,,,,,,,,,8,0.5714285714285714,저이용형
name:CBS방송국건너|,CBS방송국건너,106634,58560,58560,5.0,35.8878349,128.5981435,북구,165194,21326.8,3984.0,958.0,908.0,8.0,8시,24.046184738955823,22.79116465863454,48074,0.2910154121820405,생활형
name:CBS방송국앞|,CBS방송국앞,74172,51500,51500,5.0,35.887935,128.59849,북구,125672,14834.4,2867.0,536.0,829.0,18.0,18시,18.695500523194976,28.915242413672832,22672,0.18040613660958685,퇴근형
name:CGV대구한일건너|,CGV대구한일건너,1536950,393779,393779,9.0,35.8708197,128.5963301,중구,1930729,170772.22222222222,54112.0,2185.0,21044.0,18.0,18시,4.037921348314607,38.889710230632765,1143171,0.5920929348448177,퇴근형
name:CGV대구한일앞|,CGV대구한일앞,509289,74940,74940,4.0,35.87058132,128.5967327,중구,584229,127322.25,17608.0,478.0,7130.0,18.0,18시,2.7146751476601545,40.49295774647887,434349,0.7434567609618831,퇴근형
name:DGB대구은행파크남편건너|,DGB대구은행파크남편건너,27154,6424,6424,,,,,33578,,,,,,,,,20730,0.6173685150991721,분류 불가
name:DGB대구은행파크남편앞|,DGB대구은행파크남편앞,22004,7883,7883,,,,,29887,,,,,,,,,14121,0.47247967343661124,분류 불가
name:DGB대구은행파크동편건너|,DGB대구은행파크동편건너,55316,60809,60809,,,,,116125,,,,,,,,,-5493,0.04730247578040904,분류 불가
name:DGB대구은행파크동편앞|,DGB대구은행파크동편앞,62849,9554,9554,,,,,72403,,,,,,,,,53295,0.7360882836346561,분류 불가
name:IHL건너|,IHL건너,32,602,602,,,,,634,,,,,,,,,-570,0.8990536277602523,저이용형
name:IHL앞|,IHL앞,1769,39,39,,,,,1808,,,,,,,,,1730,0.956858407079646,저이용형
name:K-2입구|,K-2입구,61051,23260,23260,2.0,35.89420833,128.6448767,동구,84311,30525.5,2034.0,477.0,553.0,17.0,17시,23.451327433628318,27.18780727630285,37791,0.44823332661218585,퇴근형
name:K2관사입구(종점)|,K2관사입구(종점),13532,1177,1177,1.0,35.90262833,128.67201,동구,14709,13532.0,434.0,122.0,93.0,14.0,14시,28.110599078341014,21.428571428571427,12355,0.8399619280712489,출근형
name:KT남대구지사건너1|,KT남대구지사건너1,183407,77083,77083,7.0,35.83939167,128.57256,남구,260490,26201.0,6700.0,1132.0,1676.0,17.0,17시,16.895522388059703,25.01492537313433,106324,0.40816921954777535,퇴근형
