year,month,monthly_avg_temp,monthly_avg_max_temp,monthly_avg_min_temp,monthly_precipitation,monthly_avg_humidity,monthly_avg_wind_speed,monthly_sunshine_hours,monthly_snowfall,source_file,period,season
2020,1,3.8,8.4,0.1,70.4,61.0,2.1,151.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-01,겨울
2020,2,4.9,10.4,0.2,40.2,59.0,2.4,205.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-02,겨울
2020,3,9.5,15.8,3.6,24.5,61.0,2.5,246.1,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-03,봄
2020,4,12.6,19.0,6.5,32.4,53.0,2.9,273.7,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-04,봄
2020,5,19.4,25.7,14.0,38.1,64.0,2.5,241.7,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-05,봄
2020,6,24.5,30.5,19.3,185.3,63.0,2.2,226.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-06,여름
2020,7,23.2,26.8,20.2,330.5,79.0,2.2,96.7,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-07,여름
2020,8,28.6,33.3,24.8,322.7,71.0,1.9,193.5,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-08,여름
2020,9,21.2,26.0,17.1,161.0,73.0,2.0,150.1,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-09,가을
2020,10,15.4,21.3,10.1,13.1,64.0,2.0,223.0,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-10,가을
2020,11,9.7,15.3,4.5,23.9,59.0,2.2,198.5,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-11,가을
2020,12,1.6,7.2,-3.1,2.8,54.0,2.5,214.3,0.0,OBS_ASOS_MNH_20260615164729.csv,2020-12,겨울
2021,1,0.5,5.9,-4.3,11.9,58.0,2.5,203.1,0.7,OBS_ASOS_MNH_20260615164729.csv,2021-01,겨울
2021,2,4.8,11.1,-0.6,19.2,59.0,2.7,207.8,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-02,겨울
2021,3,10.2,16.1,4.7,95.2,69.0,2.4,204.0,1.7,OBS_ASOS_MNH_20260615164729.csv,2021-03,봄
2021,4,14.5,20.6,8.8,43.0,61.0,2.9,247.0,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-04,봄
2021,5,18.3,24.3,12.8,90.9,62.0,2.5,209.9,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-05,봄
2021,6,23.2,28.5,18.9,55.1,64.0,2.3,185.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-06,여름
2021,7,26.9,32.1,22.9,153.3,69.0,2.1,216.1,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-07,여름
2021,8,25.7,30.5,22.4,256.3,74.0,1.6,130.7,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-08,여름
2021,9,22.1,26.4,18.7,84.1,76.0,2.0,128.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-09,가을
2021,10,16.5,22.7,11.5,57.8,72.0,1.5,217.6,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-10,가을
2021,11,9.5,15.7,4.4,43.1,64.0,2.0,208.6,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-11,가을
2021,12,3.1,8.9,-2.1,0.1,57.0,2.5,222.1,0.0,OBS_ASOS_MNH_20260615164729.csv,2021-12,겨울
2022,1,0.9,6.8,-4.1,0.0,47.0,2.3,231.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2022-01,겨울
2022,2,1.6,7.4,-3.4,0.1,44.0,3.1,240.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2022-02,겨울
2022,3,9.7,15.9,3.8,34.3,58.0,2.4,206.4,0.0,OBS_ASOS_MNH_20260615164729.csv,2022-03,봄
2022,4,15.9,22.7,9.4,38.5,55.0,2.2,253.3,0.0,OBS_ASOS_MNH_20260615164729.csv,2022-04,봄
2022,5,20.7,27.4,14.1,4.2,50.0,2.5,313.3,0.0,OBS_ASOS_MNH_20260615164729.csv,2022-05,봄
2022,6,24.3,29.7,19.8,81.8,71.0,2.4,205.9,0.0,OBS_ASOS_MNH_20260615164729.csv,2022-06,여름
